"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
134001,"129 N 6TH AVE","MAYWOOD","IL",60153,41.8896492550001,-87.840503832,1,"129 N 6TH AVE, MAYWOOD, IL, 60153","Match","Exact","129 N 6TH AVE, MAYWOOD, IL, 60153",111748590,"R"
134002,"129 N 9TH STREET","WHEELING","WV",26003,40.111553095,-80.699486182,2,"129 N 9TH STREET, WHEELING, WV, 26003","Match","Exact","129 N 9TH ST, WHEELING, WV, 26003",38100214,"R"
134003,"129 N AUSTIN","CHICAGO","IL",60644,41.883088345,-87.774743029,3,"129 N AUSTIN, CHICAGO, IL, 60644","Match","Non_Exact","129 N AUSTIN BLVD, CHICAGO, IL, 60644",605051415,"R"
134004,"129 N CENTURY","MEMPHIS","TN",38111,35.1347707910001,-89.9515780679999,4,"129 N CENTURY, MEMPHIS, TN, 38111","Match","Non_Exact","129 N CENTURY ST, MEMPHIS, TN, 38111",612736340,"L"
134005,"129 N CIMARRON ROAD","LAS VEGAS","NV",89145,36.1746846660001,-115.268920755,5,"129 N CIMARRON ROAD, LAS VEGAS, NV, 89145","Match","Exact","129 N CIMARRON RD, LAS VEGAS, NV, 89145",201898139,"R"
134006,"129 N ELIZABETH ST","LOMBARD","IL",60148,41.8899584660001,-88.024293996,6,"129 N ELIZABETH ST, LOMBARD, IL, 60148","Match","Exact","129 N ELIZABETH ST, LOMBARD, IL, 60148",112523681,"R"
134007,"129 N KILDARE AVENUE","CHICAGO","IL",60624,41.8828314100001,-87.73308378,7,"129 N KILDARE AVENUE, CHICAGO, IL, 60624","Match","Exact","129 N KILDARE AVE, CHICAGO, IL, 60624",605080456,"R"
134008,"129 N MAIN ST","OAKFIELD","WI",53066,43.111917572,-88.4994760599999,8,"129 N MAIN ST, OAKFIELD, WI, 53066","Match","Non_Exact","129 N MAIN ST, OCONOMOWOC, WI, 53066",53911123,"R"
134009,"129 N MCGUIRE DR","MANTENO","IL",60950,41.2435483780001,-87.834855659,9,"129 N MCGUIRE DR, MANTENO, IL, 60950","Match","Exact","129 MCGUIRE DR, MANTENO, IL, 60950",98371397,"L"
134010,"129 N VINE STREET ST","MOWEAQUA","IL",62550,39.6253767580001,-89.01091583,10,"129 N VINE STREET ST, MOWEAQUA, IL, 62550","Match","Non_Exact","129 N VINE ST, MOWEAQUA, IL, 62550",5842098,"L"
134011,"129 N WASHINGTON AVE APT 511","SCRANTON","PA",18503,NA,NA,11,"129 N WASHINGTON AVE APT 511, SCRANTON, PA, 18503","Tie",NA,NA,NA,NA
134012,"129 N WATERTOWN STREET","JOHNSON CREEK","WI",53038,43.0788094760001,-88.7734339799999,12,"129 N WATERTOWN STREET, JOHNSON CREEK, WI, 53038","Match","Exact","129 N WATERTOWN ST, JOHNSON CREEK, WI, 53038",53213149,"R"
134013,"129 N WENDOVER TRCE","MOORESVILLE","NC",28117,35.5909583590001,-80.884421915,13,"129 N WENDOVER TRCE, MOORESVILLE, NC, 28117","Match","Non_Exact","129 N WENDOVER TRACE AVE, MOORESVILLE, NC, 28117",46022416,"R"
134014,"129 N WEST ST","YORKTOWN","TX",78164,28.9801217180001,-97.511540235,14,"129 N WEST ST, YORKTOWN, TX, 78164","Match","Exact","129 N WEST ST, YORKTOWN, TX, 78164",44119216,"L"
134015,"129 N WEST STREET","WHEATON","IL",60187,41.865203079,-88.1114838679999,15,"129 N WEST STREET, WHEATON, IL, 60187","Match","Exact","129 N WEST ST, WHEATON, IL, 60187",112529213,"R"
134016,"129 NASSAU ST W","EAST CANTON","OH",44730,NA,NA,16,"129 NASSAU ST W, EAST CANTON, OH, 44730","No_Match",NA,NA,NA,NA
134017,"129 NATURES COVE RD","SALUDA","SC",29138,34.069165798,-81.641896622,17,"129 NATURES COVE RD, SALUDA, SC, 29138","Match","Exact","129 NATURES COVE RD, SALUDA, SC, 29138",65523800,"L"
