"ID","Address","City","State","Zip"
257001,"608 RED OAK PLANTATION","KINGSPORT","TN","37663"
257002,"608 RIVERVIEW ROAD","PENNSAUKEN","NJ","08110"
257003,"608 ROCKY MEADOW DRIVE","GREENWOOD","IN","46143"
257004,"608 RUBY RD","PAPILLION","NE","68133"
257005,"608 S 63RD AVE W","DULUTH","MN","55807"
257006,"608 S DURANGO CIR","IRVING","TX","75062"
257007,"608 S GRANARD STREET","GAFFNEY","SC","29341"
257008,"608 S LOGAN ST","WEST FRANKFORT","IL","62896"
257009,"608 S PIERCE","AMARILLO","TX","79101"
257010,"608 SAINT MARYS","BOLCKOW","MO","64427"
257011,"608 SANDY TRAIL","FORT WORTH","TX","76120"
257012,"608 SCHLABACH RD","GREENWOOD","DE","19950"
257013,"608 SE 61ST ST","OKLAHOMA CITY","OK","73149"
257014,"608 SHERRINGFIELD TERRACE","CHESAPEAKE","VA","23322"
257015,"608 SOUTH PROSPECT ST","COLUMBIA","SC","29205"
257016,"608 SOUTH US HWY 1","FORT PIERCE","FL","34950"
257017,"608 STONEGATE CT","LAWRENCE","KS","66049"
257018,"608 SW ROBERTS AVE","FORT WHITE","FL","32038"
257019,"608 TALBOT AVE","JACKSONVILLE","FL","32205"
257020,"608 THORNWOOD DRIVE","BUFFALO GROVE","IL","60089"
257021,"608 TIMBERLAND TRAIL","VIRGINIA BEACH","VA","23452"
257022,"608 TUSCALOOSA STREET","EUTAW","AL","35462"
257023,"608 VATICAN DR","DONALDSONVILLE","LA","70346"
257024,"608 W 20TH ST","ALLIANCE","NE","69301"
257025,"608 W 5TH ST","MONTICELLO","IA","52310"
257026,"608 W HIGHPOINT DR","STILLWATER","OK","74075"
257027,"608 W JEFFERSON STREET","JENNINGS","LA","70546"
257028,"608 W LANCASTER RD","RICHMOND","VA","23222"
257029,"608 W MAIN ST","WEISER","ID","83672"
257030,"608 W PIONEER","PUYALLUP","WA","98371"
257031,"608 W SCHUYLKILL RD APT 332","POTTSTOWN","PA","19465"
257032,"608 W TARO LN","PHOENIX","AZ","85027"
257033,"608 WABASH AVE NUM 70","CARTHAGE","IL","62321"
257034,"608 WABASH AVENUE  BOX 70","CARTHAGE","IL","62321"
257035,"608 WABASH AVENUE BOX 70","CARTHAGE","IL","62321"
257036,"608 WALSTON AVE","KINSTON","NC","28504"
257037,"608 WEST 15 TH","BIG SPRING","TX","79720"
257038,"608 WEST 9320 SOUTH","SANDY","UT","84070"
257039,"608 WEST PARKWAY DRIVE PMB 144","RUSSELLVILLE","AR","72801"
257040,"608 WESTMOUNT AVENUE","COLUMBIA","MO","65203"
257041,"608 WESTWOOD OFFICE PARK","FREDERICKSBURG","VA","22407"
257042,"608 WHITNEY AVE","NEW HAVEN","CT","06511"
257043,"608 WICKENDEN ST","PROVIDENCE","RI","02903"
257044,"608 WINDSONG DRIVE","BEAVER BAY","MN","55601"
257045,"608 WINESAP COURT","JOPPA","MD","21085"
257046,"608 WINNERS CIRCLE PLACE","THMOPSONS STATION","TN","37179"
257047,"608 WOLLFORD WAY","FORT WORTH","TX","76131"
257048,"608 WOODWARD AVE","ATHENS","TN","37303"
257049,"608 WRANGLER RD","ROSWELL","NM","88201"
257050,"608 WRIGHT RD","MARYVILLE","TN","37804"
257051,"6080 113TH AVE","SPICER","MN","56288"
257052,"6080 CAMELLIA DR APT/A","SUFFOLK","VA","23435"
257053,"6080 CENTER DR STE 600","LOS ANGELES","CA","90045"
257054,"6080 CENTER DR UNIT 646","LOS ANGELES","CA","90045"
257055,"6080 CENTER DRIVE - SUITE 600","LOS ANGELES","CA","90045"
257056,"6080 CENTER DRIVE FL 6","LOS ANGELES","CA","90045"
257057,"6080 CENTER DRIVE SUITE 600","LOS ANGELES","CA","90045"
257058,"6080 EDISON ST","COCOA","FL","32927"
257059,"6080 HULEN ST SUITE 360 - 213","FORT WORTH","TX","76132"
257060,"6080 JERICHO TURNPIKE SUITE 314","COMMACK","NY","11725"
257061,"6080 MIRAMAR PARKWAY","MIRAMAR","FL","33023"
257062,"6080 OLD BRANDON ROAD SUITE A","BRANDON","MS","39042"
257063,"6080 RAVEN OAK COURT UNIT 278","MEMPHIS","TN","38115"
257064,"6080 S HULEN ST 360 - 128","FORT WORTH","TX","76132"
257065,"6080 SHAKER DRIVE","RIVERSIDE","CA","92506"
257066,"6080 SW 40TH STREET STE 10","MIAMI","FL","33155"
257067,"6080 WATER STREET","PLANO","TX","75024"
257068,"60809 225TH AVE","MANTORVILLE","MN","55955"
257069,"6081 AMBERLY ROAD","REX","GA","30273"
257070,"6081 CLIFF LANE","TEMPLE","TX","76502"
