"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
57001,"140 BENBOW LANE","CHARLOTTE","NC",28214,35.307006696,-80.947100528,1,"140 BENBOW LANE, CHARLOTTE, NC, 28214","Match","Exact","140 BENBOW LN, CHARLOTTE, NC, 28214",70473698,"R"
57002,"140 BENCHLEY PLACE SUITE25H","BRONX","NY",10475,40.87440322,-73.8257215309999,2,"140 BENCHLEY PLACE SUITE25H, BRONX, NY, 10475","Match","Exact","140 BENCHLEY PL, BRONX, NY, 10475",609850337,"R"
57003,"140 BENNINGTON ST UNIT 3","EAST BOSTON","MA",2128,42.3766823130001,-71.034077934,3,"140 BENNINGTON ST UNIT 3, EAST BOSTON, MA, 2128","Match","Exact","140 BENNINGTON ST, EAST BOSTON, MA, 02128",85711423,"L"
57004,"140 BENNINGTON ST","BOSTON","MA",2128,42.3766823130001,-71.034077934,4,"140 BENNINGTON ST, BOSTON, MA, 2128","Match","Exact","140 BENNINGTON ST, BOSTON, MA, 02128",85711423,"L"
57005,"140 BENTBROOK CT","FAYETTEVILLE","GA",30214,33.5256996530001,-84.477778574,5,"140 BENTBROOK CT, FAYETTEVILLE, GA, 30214","Match","Exact","140 BENTBROOK CT, FAYETTEVILLE, GA, 30214",75935841,"L"
57006,"140 BITTERCREEK DRIVE","FOLSOM","CA",95630,38.6785136710001,-121.136250918,6,"140 BITTERCREEK DRIVE, FOLSOM, CA, 95630","Match","Exact","140 BITTERCREEK DR, FOLSOM, CA, 95630",133384803,"L"
57007,"140 BOWER LANE","JERSEY SHORE","PA",17740,41.2119132970001,-77.342605098,7,"140 BOWER LANE, JERSEY SHORE, PA, 17740","Match","Exact","140 BOWER LN, JERSEY SHORE, PA, 17740",77173676,"R"
57008,"140 BOWERS LN","MCDONOUGH","GA",30252,33.4137561060001,-83.9868104129999,8,"140 BOWERS LN, MCDONOUGH, GA, 30252","Match","Exact","140 BOWERS LN, MCDONOUGH, GA, 30252",619913202,"R"
57009,"140 BRIDGE RD","TEQUESTA","FL",33469,26.957867188,-80.0865978699999,9,"140 BRIDGE RD, TEQUESTA, FL, 33469","Match","Exact","140 BRIDGE RD, TEQUESTA, FL, 33469",640824354,"R"
57010,"140 BROADWAY       PO BOX 1271","SOUTH FULTON","TN",38257,36.500152799,-88.8757350129999,10,"140 BROADWAY       PO BOX 1271, SOUTH FULTON, TN, 38257","Match","Non_Exact","140 BROADWAY ST, SOUTH FULTON, TN, 38257",637501196,"L"
57011,"140 BROADWAY","MASSAPEQUA PARK","NY",11762,40.685528231,-73.446546906,11,"140 BROADWAY, MASSAPEQUA PARK, NY, 11762","Match","Exact","140 BROADWAY, MASSAPEQUA PARK, NY, 11762",147651625,"L"
57012,"140 BROOKS RD","RICHMOND","KY",40475,37.824796754,-84.314313473,12,"140 BROOKS RD, RICHMOND, KY, 40475","Match","Exact","140 BROOKS RD, RICHMOND, KY, 40475",31991773,"L"
57013,"140 BROOKWOOD DRIVE","ATHENS","GA",30605,33.919318768,-83.339997108,13,"140 BROOKWOOD DRIVE, ATHENS, GA, 30605","Match","Exact","140 BROOKWOOD DR, ATHENS, GA, 30605",4804146,"R"
57014,"140 CABARRUS AVENUE WEST","CONCORD","NC",28025,35.4074807810001,-80.5854456339999,14,"140 CABARRUS AVENUE WEST, CONCORD, NC, 28025","Match","Exact","140 CABARRUS AVE W, CONCORD, NC, 28025",24899996,"R"
57015,"140 CABRINI BLVD   APT 88","NEW YORK","NY",10033,40.852627576,-73.939794402,15,"140 CABRINI BLVD   APT 88, NEW YORK, NY, 10033","Match","Exact","140 CABRINI BLVD, NEW YORK, NY, 10033",650071209,"L"
57016,"140 CABRINI BLVD APT 126","NEW YORK","NY",10033,40.852627576,-73.939794402,16,"140 CABRINI BLVD APT 126, NEW YORK, NY, 10033","Match","Exact","140 CABRINI BLVD, NEW YORK, NY, 10033",650071209,"L"
57017,"140 CABRINI BOULEVARD-32","NEW YORK","NY",10033,40.852627576,-73.939794402,17,"140 CABRINI BOULEVARD-32, NEW YORK, NY, 10033","Match","Non_Exact","140 CABRINI BLVD, NEW YORK, NY, 10033",650071209,"L"
57018,"140 CADMAN PLAZA WEST 10K","BROOKLYN","NY",11201,40.700440056,-73.9908016909999,18,"140 CADMAN PLAZA WEST 10K, BROOKLYN, NY, 11201","Match","Exact","140 CADMAN PLZ W, BROOKLYN, NY, 11201",638285734,"R"
57019,"140 CADMAN PLAZA WEST 7-J","BROOKLYN","NY",11202,40.700440056,-73.9908016909999,19,"140 CADMAN PLAZA WEST 7-J, BROOKLYN, NY, 11202","Match","Non_Exact","140 CADMAN PLZ W, BROOKLYN, NY, 11201",638285734,"R"
57020,"140 CAMBRIDGE AVE","SILVERTON","OR",97381,45.0080922280001,-122.767245046,20,"140 CAMBRIDGE AVE, SILVERTON, OR, 97381","Match","Exact","140 CAMBRIDGE AVE, SILVERTON, OR, 97381",613692308,"L"
57021,"140 CANTERBURY ROAD","MOUNT LAUREL","NJ",8054,NA,NA,21,"140 CANTERBURY ROAD, MOUNT LAUREL, NJ, 8054","No_Match",NA,NA,NA,NA
57022,"140 CATANIA WAY","ROYAL PALM BEACH","FL",33411,26.6900673380001,-80.2078500219999,22,"140 CATANIA WAY, ROYAL PALM BEACH, FL, 33411","Match","Exact","140 CATANIA WAY, ROYAL PALM BEACH, FL, 33411",115571960,"L"
57023,"140 CEBRA AVENUE","STATEN ISLAND","NY",10304,40.631768261,-74.0829209999999,23,"140 CEBRA AVENUE, STATEN ISLAND, NY, 10304","Match","Exact","140 CEBRA AVE, STATEN ISLAND, NY, 10304",59878987,"R"
57024,"140 CEDAR MOUNTAIN DR","STEPHENS CITY","VA",22655,39.091260446,-78.177229897,24,"140 CEDAR MOUNTAIN DR, STEPHENS CITY, VA, 22655","Match","Exact","140 CEDAR MOUNTAIN DR, STEPHENS CITY, VA, 22655",617908659,"R"
57025,"140 CENTRAL AVENUE","LAWRENCE","NY",11559,40.6121461170001,-73.7400299559999,25,"140 CENTRAL AVENUE, LAWRENCE, NY, 11559","Match","Exact","140 CENTRAL AVE, LAWRENCE, NY, 11559",147657477,"L"
57026,"140 CHERRY RUN RD","CRAIGSVILLE","WV",26205,38.3364061620001,-80.642414177,26,"140 CHERRY RUN RD, CRAIGSVILLE, WV, 26205","Match","Exact","140 CHERRY RUN RD, CRAIGSVILLE, WV, 26205",50039505,"R"
57027,"140 CHEVY CHASE STREET UNIT 306","GAITHERSBURG","MD",20878,39.1220031650001,-77.2304163749999,27,"140 CHEVY CHASE STREET UNIT 306, GAITHERSBURG, MD, 20878","Match","Exact","140 CHEVY CHASE ST, GAITHERSBURG, MD, 20878",641074696,"R"
57028,"140 CHIMNEY BLUFF CT","FOLSOM","CA",95630,38.7131775350001,-121.189934693,28,"140 CHIMNEY BLUFF CT, FOLSOM, CA, 95630","Match","Exact","140 CHIMNEY BLUFF CT, FOLSOM, CA, 95630",133408608,"R"
57029,"140 CHUCKAR DR","BEEVILLE","TX",78102,28.507726286,-97.882351711,29,"140 CHUCKAR DR, BEEVILLE, TX, 78102","Match","Exact","140 CHUCKAR DR, BEEVILLE, TX, 78102",35624457,"R"
57030,"140 CHURCH ST","FAYETTEVILLE","GA",30214,33.4502648500001,-84.452564275,30,"140 CHURCH ST, FAYETTEVILLE, GA, 30214","Match","Exact","140 CHURCH ST, FAYETTEVILLE, GA, 30214",75930598,"R"
57031,"140 CHURCH STREET  APT 1","ALEXANDRIA BAY","NY",13607,44.3286302060001,-75.912241356,31,"140 CHURCH STREET  APT 1, ALEXANDRIA BAY, NY, 13607","Match","Exact","140 CHURCH ST, ALEX BAY, NY, 13607",154231197,"L"
57032,"140 CLAIRE DRIVE","ATLANTA","GA",30315,NA,NA,32,"140 CLAIRE DRIVE, ATLANTA, GA, 30315","Tie",NA,NA,NA,NA
57033,"140 CLOUDCREST DR","DESOTO","TX",75115,32.5882705240001,-96.832032265,33,"140 CLOUDCREST DR, DESOTO, TX, 75115","Match","Exact","140 CLOUDCREST DR, DESOTO, TX, 75115",103186349,"L"
57034,"140 COLEY CT","PITTSBORO","NC",27312,35.8025007190001,-79.1308708509999,34,"140 COLEY CT, PITTSBORO, NC, 27312","Match","Exact","140 COLEY CT, PITTSBORO, NC, 27312",637550097,"R"
