"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
225501,"4885 ZUNI ST","DENVER","CO",80221,39.7852965020001,-105.01584434,1,"4885 ZUNI ST, DENVER, CO, 80221","Match","Exact","4885 ZUNI ST, DENVER, CO, 80221",177299223,"L"
225502,"4886 MT HWY 24 N","OPHEIM","MT",59250,NA,NA,2,"4886 MT HWY 24 N, OPHEIM, MT, 59250","No_Match",NA,NA,NA,NA
225503,"4886 S HIGHWAY 17 BUSINESS","MURRELLS INLET","SC",29576,NA,NA,3,"4886 S HIGHWAY 17 BUSINESS, MURRELLS INLET, SC, 29576","No_Match",NA,NA,NA,NA
225504,"48862 CROWN RIDGE COMMON","FREMONT","CA",94539,37.472126008,-121.893082108,4,"48862 CROWN RIDGE COMMON, FREMONT, CA, 94539","Match","Exact","48862 CROWN RIDGE CMN, FREMONT, CA, 94539",125058284,"L"
225505,"4887 E LA PALMA AVENUE STE 708","ANAHEIM","CA",92807,NA,NA,5,"4887 E LA PALMA AVENUE STE 708, ANAHEIM, CA, 92807","No_Match",NA,NA,NA,NA
225506,"4887 E STREET","SPRINGFIELD","OR",97478,44.051005778,-122.947222671,6,"4887 E STREET, SPRINGFIELD, OR, 97478","Match","Exact","4887 E ST, SPRINGFIELD, OR, 97478",178174307,"R"
225507,"4887 ECHO RIDGE DR","EAGLE RIVER","WI",54521,45.8312405930001,-89.37837624,7,"4887 ECHO RIDGE DR, EAGLE RIVER, WI, 54521","Match","Exact","4887 ECHO RIDGE DR, EAGLE RIVER, WI, 54521",196637176,"L"
225508,"4887 S CITATION DR APT 205","DELRAY BEACH","FL",33445,NA,NA,8,"4887 S CITATION DR APT 205, DELRAY BEACH, FL, 33445","Tie",NA,NA,NA,NA
225509,"4887 WINCHESTER PIKE","COLUMBUS","OH",43232,39.8937266880001,-82.8697612829999,9,"4887 WINCHESTER PIKE, COLUMBUS, OH, 43232","Match","Exact","4887 WINCHESTER PIKE, COLUMBUS, OH, 43232",218703644,"R"
225510,"4888 157TH STREET","CHIPPEWA FALLS","WI",54729,44.913796851,-91.3506159359999,10,"4888 157TH STREET, CHIPPEWA FALLS, WI, 54729","Match","Exact","4888 157TH ST, CHIPPEWA FALLS, WI, 54729",78942194,"R"
225511,"4888 21ST AVENUE SOUTH","SAINT PETERSBURG","FL",33713,27.749260292,-82.699442469,11,"4888 21ST AVENUE SOUTH, SAINT PETERSBURG, FL, 33713","Match","Non_Exact","4888 21ST AVE S, SAINT PETERSBURG, FL, 33711",124709176,"L"
225512,"4888 CANNON WOODS CT NE","BELMONT","MI",49306,43.0514349270001,-85.515317136,12,"4888 CANNON WOODS CT NE, BELMONT, MI, 49306","Match","Exact","4888 CANNON WOODS CT NE, BELMONT, MI, 49306",12484426,"R"
225513,"4888 MACARTHUR BLVD NW APT B","WASHINGTON","DC",20007,38.9183332010001,-77.098269273,13,"4888 MACARTHUR BLVD NW APT B, WASHINGTON, DC, 20007","Match","Exact","4888 MACARTHUR BLVD NW, WASHINGTON, DC, 20007",76220031,"L"
225514,"4888 SUNSET DR","LOCKPORT","NY",14094,43.176117795,-78.731290768,14,"4888 SUNSET DR, LOCKPORT, NY, 14094","Match","Exact","4888 SUNSET DR, LOCKPORT, NY, 14094",48696392,"R"
225515,"4888 WINTON ROAD","CINCINNATI","OH",45232,39.179387084,-84.519698289,15,"4888 WINTON ROAD, CINCINNATI, OH, 45232","Match","Exact","4888 WINTON RD, CINCINNATI, OH, 45232",103966414,"R"
225516,"4889 NEW POINT COMFORT HWY","PORT HAYWOOD","VA",23138,37.3694196700001,-76.3166284979999,16,"4889 NEW POINT COMFORT HWY, PORT HAYWOOD, VA, 23138","Match","Exact","4889 NEW POINT COMFORT HWY, PORT HAYWOOD, VA, 23138",199450611,"R"
225517,"4889 S CREE WAY","BOISE","ID",83709,NA,NA,17,"4889 S CREE WAY, BOISE, ID, 83709","Tie",NA,NA,NA,NA
225518,"4889 TIGER LANE","FAIRBURN","GA",30213,NA,NA,18,"4889 TIGER LANE, FAIRBURN, GA, 30213","No_Match",NA,NA,NA,NA
225519,"489 11TH AVE","PATERSON","NJ",7514,40.921643069,-74.1465975409999,19,"489 11TH AVE, PATERSON, NJ, 7514","Match","Exact","489 11TH AVE, PATERSON, NJ, 07514",65264687,"L"
225520,"489 AGNES ST SUITE 100","BASTROP","TX",78602,30.1046208870001,-97.334708596,20,"489 AGNES ST SUITE 100, BASTROP, TX, 78602","Match","Exact","489 AGNES ST, BASTROP, TX, 78602",649008829,"L"
225521,"489 BLEVENS DRIVE","MANCHESTER","NH",3104,43.0148800960001,-71.438868379,21,"489 BLEVENS DRIVE, MANCHESTER, NH, 3104","Match","Exact","489 BLEVENS DR, MANCHESTER, NH, 03104",113557825,"R"
225522,"489 BROADWAY ST","TECUMSEH","NE",68450,40.368127654,-96.192875624,22,"489 BROADWAY ST, TECUMSEH, NE, 68450","Match","Exact","489 BROADWAY ST, TECUMSEH, NE, 68450",32447230,"L"
225523,"489 BROADWAY","EVERETT","MA",2149,42.4080247790001,-71.0546115339999,23,"489 BROADWAY, EVERETT, MA, 2149","Match","Exact","489 BROADWAY, EVERETT, MA, 02149",86873522,"R"
225524,"489 CARLTON ROAD","WYCKOFF","NJ",7481,41.005503333,-74.1823153719999,24,"489 CARLTON ROAD, WYCKOFF, NJ, 7481","Match","Exact","489 CARLTON RD, WYCKOFF, NJ, 07481",64402707,"L"
225525,"489 CATALINA LANE","AUSTIN","TX",78737,30.1814691700001,-97.976000026,25,"489 CATALINA LANE, AUSTIN, TX, 78737","Match","Exact","489 CATALINA LN, AUSTIN, TX, 78737",639351661,"L"
225526,"489 CHARLESTON ST","CADIZ","OH",43907,40.270100588,-80.9772973249999,26,"489 CHARLESTON ST, CADIZ, OH, 43907","Match","Exact","489 CHARLESTON ST, CADIZ, OH, 43907",37716737,"L"
225527,"489 DAISYDELL COURT","SAN JOSE","CA",95129,37.3173846290001,-121.985464887,27,"489 DAISYDELL COURT, SAN JOSE, CA, 95129","Match","Exact","489 DAISYDELL CT, SAN JOSE, CA, 95129",122899963,"R"
225528,"489 DARDIS DRIVE","BURLINGTON","WI",53105,42.6694507600001,-88.289933084,28,"489 DARDIS DRIVE, BURLINGTON, WI, 53105","Match","Exact","489 DARDIS DR, BURLINGTON, WI, 53105",77902835,"R"
225529,"489 DORLAN MILL ROAD","DOWNINGTOWN","PA",19335,40.057506419,-75.7041970659999,29,"489 DORLAN MILL ROAD, DOWNINGTOWN, PA, 19335","Match","Exact","489 DORLAN MILL RD, DOWNINGTOWN, PA, 19335",179520657,"R"
225530,"489 E 400 S APT107","SALT LAKE CITY","UT",84111,NA,NA,30,"489 E 400 S APT107, SALT LAKE CITY, UT, 84111","No_Match",NA,NA,NA,NA
225531,"489 E RUE HUGO","VINEYARD","UT",84059,40.2981492010001,-111.741670696,31,"489 E RUE HUGO, VINEYARD, UT, 84059","Match","Exact","489 RUE HUGO, VINEYARD, UT, 84059",645135523,"L"
225532,"489 EAST 169TH STREET","BRONX","NY",10467,40.8327986300001,-73.905172019,32,"489 EAST 169TH STREET, BRONX, NY, 10467","Match","Non_Exact","489 E 169TH ST, BRONX, NY, 10456",80301289,"L"
225533,"489 EAST LAKE CIRCLE","CHESAPEAKE","VA",23322,36.7092856680001,-76.255523432,33,"489 EAST LAKE CIRCLE, CHESAPEAKE, VA, 23322","Match","Exact","489 E LAKE CIR, CHESAPEAKE, VA, 23322",121800058,"L"
225534,"489 ELLICOTT APT 22","BUFFALO","NY",14203,42.891956463,-78.869981249,34,"489 ELLICOTT APT 22, BUFFALO, NY, 14203","Match","Non_Exact","489 ELLICOTT ST, BUFFALO, NY, 14203",48290904,"R"
225535,"489 ELM AVE","CHULA VISTA","CA",91910,32.6363297240001,-117.071661697,35,"489 ELM AVE, CHULA VISTA, CA, 91910","Match","Exact","489 ELM AVE, CHULA VISTA, CA, 91910",195356316,"L"
225536,"489 FAIRFAX LN","APOLLO BEACH","FL",33572,27.7694664270001,-82.4040696229999,36,"489 FAIRFAX LN, APOLLO BEACH, FL, 33572","Match","Exact","489 FAIRFAX LN, APOLLO BEACH, FL, 33572",104495515,"R"
225537,"489 FORT JOHNSON RD","CHARLESTON","SC",29412,32.7456616970001,-79.909724508,37,"489 FORT JOHNSON RD, CHARLESTON, SC, 29412","Match","Exact","489 FORT JOHNSON RD, CHARLESTON, SC, 29412",622549883,"L"
225538,"489 GEMMA DRIVE","MILPITAS","CA",95035,37.4456483760001,-121.900590229,38,"489 GEMMA DRIVE, MILPITAS, CA, 95035","Match","Exact","489 GEMMA DR, MILPITAS, CA, 95035",123002926,"R"
225539,"489 KUHLMAN DRIVE","VERSAILLES","KY",40383,38.069813083,-84.7226138359999,39,"489 KUHLMAN DRIVE, VERSAILLES, KY, 40383","Match","Exact","489 KUHLMAN DR, VERSAILLES, KY, 40383",38498301,"R"
225540,"489 LINCOLNSHIRE DRIVE","SAN ANTONIO","TX",78220,29.4111879980001,-98.429556366,40,"489 LINCOLNSHIRE DRIVE, SAN ANTONIO, TX, 78220","Match","Exact","489 LINCOLNSHIRE DR, SAN ANTONIO, TX, 78220",101532331,"L"
225541,"489 MANHATTAN AVENUE","NEW YORK","NY",10027,40.807981327,-73.954672213,41,"489 MANHATTAN AVENUE, NEW YORK, NY, 10027","Match","Exact","489 MANHATTAN AVE, NEW YORK, NY, 10027",59656093,"L"
225542,"489 MATHEWS RD","FORT VALLEY","GA",31030,NA,NA,42,"489 MATHEWS RD, FORT VALLEY, GA, 31030","No_Match",NA,NA,NA,NA
225543,"489 MCKINLEY LANE","DELAWARE","OH",43015,40.314740869,-83.0851816109999,43,"489 MCKINLEY LANE, DELAWARE, OH, 43015","Match","Exact","489 MCKINLEY LN, DELAWARE, OH, 43015",24602999,"L"
225544,"489 MELLVIEW AVE SW","ATLANTA","GA",30310,33.7177545590001,-84.403711636,44,"489 MELLVIEW AVE SW, ATLANTA, GA, 30310","Match","Exact","489 MELLVIEW AVE SW, ATLANTA, GA, 30310",17346250,"R"
225545,"489 MELLVIEW AVENUE","ATLANTA","GA",30310,33.7177545590001,-84.403711636,45,"489 MELLVIEW AVENUE, ATLANTA, GA, 30310","Match","Non_Exact","489 MELLVIEW AVE SW, ATLANTA, GA, 30310",17346250,"R"
225546,"489 N ELM STREET","CANBY","OR",97013,45.264033618,-122.700007768,46,"489 N ELM STREET, CANBY, OR, 97013","Match","Exact","489 N ELM ST, CANBY, OR, 97013",157911583,"R"
225547,"489 NORTH COUNTY ROAD 23E","BERTHOUD","CO",80513,40.3045366740001,-105.159776451,47,"489 NORTH COUNTY ROAD 23E, BERTHOUD, CO, 80513","Match","Exact","489 N CO RD 23E, BERTHOUD, CO, 80513",642902802,"L"
225548,"489 PARKLAND DRIVE","SANDY","UT",84092,40.59078249,-111.905713392,48,"489 PARKLAND DRIVE, SANDY, UT, 84092","Match","Non_Exact","489 PARKLAND DR, SANDY, UT, 84070",635615821,"R"
225549,"489 PROSPECT PLACE APT D1","BROOKLYN","NY",11238,40.6758702660001,-73.960268297,49,"489 PROSPECT PLACE APT D1, BROOKLYN, NY, 11238","Match","Exact","489 PROSPECT PL, BROOKLYN, NY, 11238",59078431,"L"
225550,"489 QUIDNESSETT ROAD","NORTH KINGSTOWN","RI",2852,41.6361675260001,-71.4350787879999,50,"489 QUIDNESSETT ROAD, NORTH KINGSTOWN, RI, 2852","Match","Non_Exact","489 N QUIDNESSETT RD, NORTH KINGSTOWN, RI, 02852",58924094,"R"
225551,"489 RED ROSE LANE","SANFORD","FL",32771,28.8161957680001,-81.315862469,51,"489 RED ROSE LANE, SANFORD, FL, 32771","Match","Exact","489 RED ROSE LN, SANFORD, FL, 32771",649134391,"L"
225552,"489 RUTH ST","ATHENS","GA",30601,33.97451478,-83.370460599,52,"489 RUTH ST, ATHENS, GA, 30601","Match","Exact","489 RUTH ST, ATHENS, GA, 30601",4809859,"L"
225553,"489 S 3RD ST","LINDENHURST","NY",11757,NA,NA,53,"489 S 3RD ST, LINDENHURST, NY, 11757","Tie",NA,NA,NA,NA
225554,"489 SHADYWOOD DRIVE","PENN HILLS","PA",15235,40.4536117710001,-79.828081746,54,"489 SHADYWOOD DRIVE, PENN HILLS, PA, 15235","Match","Exact","489 SHADYWOOD DR, PENN HILLS, PA, 15235",51690489,"R"
225555,"489 SHEFFIELD DRIVE","VERSAILLES","KY",40383,38.0429458300001,-84.736690364,55,"489 SHEFFIELD DRIVE, VERSAILLES, KY, 40383","Match","Exact","489 SHEFFIELD DR, VERSAILLES, KY, 40383",38498431,"L"
225556,"489 SOUTHERN TRACE XING","ROCKMART","GA",30153,33.902989403,-85.009969515,56,"489 SOUTHERN TRACE XING, ROCKMART, GA, 30153","Match","Exact","489 SOUTHERN TRACE CROSSING, ROCKMART, GA, 30153",207993623,"L"
225557,"489 SPRING STREET","POTTSTOWN","PA",19464,40.258992085,-75.6531909569999,57,"489 SPRING STREET, POTTSTOWN, PA, 19464","Match","Exact","489 SPRING ST, POTTSTOWN, PA, 19464",135104462,"L"
225558,"489 STONE SHADOW DR","BLACKLICK","OH",43004,39.992521857,-82.816125861,58,"489 STONE SHADOW DR, BLACKLICK, OH, 43004","Match","Exact","489 STONE SHADOW DR, BLACKLICK, OH, 43004",218700435,"L"
225559,"489 WASHINGTON DR","JONESBORO","GA",30238,33.4578817760001,-84.375932091,59,"489 WASHINGTON DR, JONESBORO, GA, 30238","Match","Exact","489 WASHINGTON DR, JONESBORO, GA, 30238",23328917,"R"
