"ID","Address","City","State","Zip","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side"
207001,"420 BROADWAY","KINGSTON","NY",12401,41.926721468,-73.996548472,1,"420 BROADWAY, KINGSTON, NY, 12401","Match","Exact","420 BROADWAY, KINGSTON, NY, 12401",635528884,"L"
207002,"420 BUCK STREET","MILLVILLE","NJ",8332,39.399752354,-75.040079137,2,"420 BUCK STREET, MILLVILLE, NJ, 8332","Match","Exact","420 BUCK ST, MILLVILLE, NJ, 08332",174112012,"L"
207003,"420 BULLARD AVENUE SUITE 103","CLOVIS","CA",93612,36.823011149,-119.704115248,3,"420 BULLARD AVENUE SUITE 103, CLOVIS, CA, 93612","Match","Exact","420 BULLARD AVE, CLOVIS, CA, 93612",197584289,"R"
207004,"420 BUTTE AVE","METOLIUS","OR",97741,44.5880771450001,-121.172604954,4,"420 BUTTE AVE, METOLIUS, OR, 97741","Match","Exact","420 BUTTE AVE, METOLIUS, OR, 97741",632007470,"R"
207005,"420 C PARK RIDGE LN","WINSTON SALEM","NC",27104,36.0879925080001,-80.327575321,5,"420 C PARK RIDGE LN, WINSTON SALEM, NC, 27104","Match","Exact","420 PARK RIDGE LN, WINSTON SALEM, NC, 27104",84662237,"L"
207006,"420 CAMBRIDGE CT","NEENAH","WI",54956,44.1619082980001,-88.45804042,6,"420 CAMBRIDGE CT, NEENAH, WI, 54956","Match","Exact","420 CAMBRIDGE CT, NEENAH, WI, 54956",74493390,"L"
207007,"420 CEDAR BLUFF AVE SE","ROANOKE","VA",24013,37.263457687,-79.936189751,7,"420 CEDAR BLUFF AVE SE, ROANOKE, VA, 24013","Match","Non_Exact","420 CEDAR BLUFF DR SE, ROANOKE, VA, 24013",62910482,"L"
207008,"420 CHAMPS LANE","MIDDLETOWN","DE",19709,39.454020771,-75.7300931459999,8,"420 CHAMPS LANE, MIDDLETOWN, DE, 19709","Match","Exact","420 CHAMPS LN, MIDDLETOWN, DE, 19709",187288804,"R"
207009,"420 CHINQUAPIN ROUND ROAD SUITE 2-I","ANNAPOLIS","MD",21401,38.974429032,-76.524681968,9,"420 CHINQUAPIN ROUND ROAD SUITE 2-I, ANNAPOLIS, MD, 21401","Match","Exact","420 CHINQUAPIN ROUND RD, ANNAPOLIS, MD, 21401",624827413,"L"
207010,"420 CLAREMONT WAY","MENLO PARK","CA",94025,37.4495513310001,-122.169630902,10,"420 CLAREMONT WAY, MENLO PARK, CA, 94025","Match","Exact","420 CLAREMONT WAY, MENLO PARK, CA, 94025",192365638,"R"
207011,"420 COLSON RIDGE DR","CLAYTON","NC",27520,35.560990277,-78.503073945,11,"420 COLSON RIDGE DR, CLAYTON, NC, 27520","Match","Exact","420 COLSON RIDGE DR, CLAYTON, NC, 27520",651417416,"R"
207012,"420 CONCORD DRIVE","CHICAGO HEIGHTS","IL",60411,41.4975207300001,-87.662270282,12,"420 CONCORD DRIVE, CHICAGO HEIGHTS, IL, 60411","Match","Exact","420 CONCORD DR, CHICAGO HEIGHTS, IL, 60411",111711196,"L"
207013,"420 CONWAY MEADOWS DRIVE","CHESTERFIELD","MO",63017,38.6479740510001,-90.520903012,13,"420 CONWAY MEADOWS DRIVE, CHESTERFIELD, MO, 63017","Match","Exact","420 CONWAY MEADOWS DR, CHESTERFIELD, MO, 63017",100123219,"L"
207014,"420 COUNTRY CLUB DRIVE","GRIFFIN","GA",30223,33.254537688,-84.314528622,14,"420 COUNTRY CLUB DRIVE, GRIFFIN, GA, 30223","Match","Exact","420 COUNTRY CLUB DR, GRIFFIN, GA, 30223",23758598,"L"
207015,"420 COUNTY ROAD 350","SWEETWATER","TN",37874,35.529725624,-84.489022532,15,"420 COUNTY ROAD 350, SWEETWATER, TN, 37874","Match","Exact","420 CO RD 350, SWEETWATER, TN, 37874",635418824,"R"
207016,"420 CROWN POINT ROAD","WEST DEPTFORD","NJ",8086,39.844653463,-75.189267973,16,"420 CROWN POINT ROAD, WEST DEPTFORD, NJ, 8086","Match","Exact","420 CROWN POINT RD, WEST DEPTFORD, NJ, 08086",134594645,"L"
207017,"420 DALLAS POINTE LN","CHAPIN","SC",29036,34.09003762,-81.330607156,17,"420 DALLAS POINTE LN, CHAPIN, SC, 29036","Match","Exact","420 DALLAS POINTE LN, CHAPIN, SC, 29036",70047195,"L"
207018,"420 DANVILLE AVENUTE","STANFORD","KY",40484,37.5332202430001,-84.668481985,18,"420 DANVILLE AVENUTE, STANFORD, KY, 40484","Match","Non_Exact","420 DANVILLE AVE, STANFORD, KY, 40484",32558418,"R"
